ln_fn_by,ln_fn_dob,patient_last_name,patient_first_name,patient_dob,patient_birth_year,estimated_dob,estimated_birth_year,combined_dob,combined_birth_year
1962,1962-03-30,NULL,NULL,NULL,NULL,1962-03-30,1962,1962-03-30,1962
1981,1981-05-26,NULL,NULL,NULL,NULL,1981-05-26,1981,1981-05-26,1981
1982,1982-03-23,NULL,NULL,NULL,NULL,1982-03-23,1982,1982-03-23,1982
1990,1990-11-03,NULL,NULL,NULL,NULL,1990-11-03,1990,1990-11-03,1990
1991,1991-02-19,NULL,NULL,NULL,NULL,1991-02-19,1991,1991-02-19,1991
1991,1991-08-10,NULL,NULL,NULL,NULL,1991-08-10,1991,1991-08-10,1991
1996,1996-02-13,NULL,NULL,NULL,NULL,1996-02-13,1996,1996-02-13,1996
1999,1999-10-04,NULL,NULL,NULL,NULL,1999-10-04,1999,1999-10-04,1999
2013,2013-03-08,NULL,NULL,NULL,NULL,2013-03-08,2013,2013-03-08,2013
2015,2015-01-29,NULL,NULL,NULL,NULL,2015-01-29,2015,2015-01-29,2015
2015,2015-04-03,NULL,NULL,NULL,NULL,2015-04-03,2015,2015-04-03,2015
2019,2019-09-24,NULL,NULL,NULL,NULL,2019-09-24,2019,2019-09-24,2019
2020,2020-08-19,NULL,NULL,NULL,NULL,2020-08-19,2020,2020-08-19,2020
1935,1935-07-03,NULL,NULL,1935-07-03,1935,1936-03-07,1936,1935-07-03,1935
1952,1952-03-29,NULL,NULL,1952-03-29,1952,1952-10-18,1952,1952-03-29,1952
1982,1982-01-01,NULL,NULL,1982-01-01,1982,1982-09-16,1982,1982-01-01,1982
2000,2000-01-01,NULL,NULL,2000-01-01,2000,2000-09-02,2000,2000-01-01,2000
2007,2007-12-02,NULL,NULL,2007-12-02,2007,2008-12-03,2008,2007-12-02,2007
2019,2019-01-01,NULL,NULL,2019-01-01,2019,2019-04-06,2019,2019-01-01,2019
2020,2020-10-10,NULL,NULL,2020-10-10,2020,2019-07-12,2019,2020-10-10,2020
2020,2020-10-25,NULL,NULL,2020-10-25,2020,2020-10-30,2020,2020-10-25,2020
2021,2021-01-12,NULL,NULL,2021-01-12,2021,1960-12-19,1960,2021-01-12,2021
2021,2021-04-05,NULL,NULL,2021-04-05,2021,2019-11-18,2019,2021-04-05,2021
2021,2021-04-14,NULL,NULL,2021-04-14,2021,NULL,NULL,2021-04-14,2021
2021,2021-05-13,NULL,NULL,2021-05-13,2021,2021-05-13,2021,2021-05-13,2021
AMBER 1998,AMBER 1998-01-28,NULL,AMBER,NULL,NULL,1998-01-28,1998,1998-01-28,1998
ANGEL 2001,ANGEL 2001-01-07,NULL,ANGEL,2001-01-07,2001,2001-05-17,2001,2001-01-07,2001
DEBBIE 1901,DEBBIE 1901-05-22,NULL,DEBBIE,NULL,NULL,1901-05-22,1901,1901-05-22,1901
GLORIA 1931,GLORIA 1931-09-05,NULL,GLORIA,NULL,NULL,1931-09-05,1931,1931-09-05,1931
MARY 1948,MARY 1948-06-02,NULL,MARY,NULL,NULL,1948-06-02,1948,1948-06-02,1948
1927,1927-05-17,NULL,NULL,NULL,NULL,1927-05-17,1927,1927-05-17,1927
1954,1954-06-08,NULL,NULL,NULL,NULL,1954-06-08,1954,1954-06-08,1954
1960,1960-01-31,NULL,NULL,NULL,NULL,1960-01-31,1960,1960-01-31,1960
1961,1961-03-15,NULL,NULL,NULL,NULL,1961-03-15,1961,1961-03-15,1961
1961,1961-09-14,NULL,NULL,NULL,NULL,1961-09-14,1961,1961-09-14,1961
1967,1967-04-28,NULL,NULL,NULL,NULL,1967-04-28,1967,1967-04-28,1967
1968,1968-11-06,NULL,NULL,NULL,NULL,1968-11-06,1968,1968-11-06,1968
1980,1980-12-20,NULL,NULL,NULL,NULL,1980-12-20,1980,1980-12-20,1980
1984,1984-01-11,NULL,NULL,NULL,NULL,1984-01-11,1984,1984-01-11,1984
1985,1985-10-17,NULL,NULL,NULL,NULL,1985-10-17,1985,1985-10-17,1985
1990,1990-11-09,NULL,NULL,NULL,NULL,1990-11-09,1990,1990-11-09,1990
1991,1991-04-19,NULL,NULL,NULL,NULL,1991-04-19,1991,1991-04-19,1991
1991,1991-08-03,NULL,NULL,NULL,NULL,1991-08-03,1991,1991-08-03,1991
1994,1994-04-11,NULL,NULL,NULL,NULL,1994-04-11,1994,1994-04-11,1994
1995,1995-11-03,NULL,NULL,NULL,NULL,1995-11-03,1995,1995-11-03,1995
1995,1995-12-26,NULL,NULL,NULL,NULL,1995-12-26,1995,1995-12-26,1995
1999,1999-04-05,NULL,NULL,NULL,NULL,1999-04-05,1999,1999-04-05,1999
2004,2004-08-16,NULL,NULL,NULL,NULL,2004-08-16,2004,2004-08-16,2004
2019,2019-07-02,NULL,NULL,NULL,NULL,2019-07-02,2019,2019-07-02,2019
1970,1970-01-01,NULL,NULL,1970-01-01,1970,1970-05-20,1970,1970-01-01,1970
1991,1991-01-01,NULL,NULL,1991-01-01,1991,1991-03-21,1991,1991-01-01,1991
2003,2003-09-19,NULL,NULL,2003-09-19,2003,2003-09-24,2003,2003-09-19,2003
2018,2018-01-01,NULL,NULL,2018-01-01,2018,2018-08-03,2018,2018-01-01,2018
2021,2021-01-04,NULL,NULL,2021-01-04,2021,2020-02-27,2020,2021-01-04,2021
2021,2021-02-17,NULL,NULL,2021-02-17,2021,2021-02-16,2021,2021-02-17,2021
2021,2021-05-01,NULL,NULL,2021-05-01,2021,2021-05-15,2021,2021-05-01,2021
2021,2021-06-26,NULL,NULL,2021-06-26,2021,2021-02-02,2021,2021-06-26,2021
ALYSSA 1993,ALYSSA 1993-10-02,NULL,ALYSSA,NULL,NULL,1993-10-02,1993,1993-10-02,1993
BRAD 1976,BRAD 1976-01-02,NULL,BRAD,NULL,NULL,1976-01-02,1976,1976-01-02,1976
CLARA 1938,CLARA 1938-01-21,NULL,CLARA,NULL,NULL,1938-01-21,1938,1938-01-21,1938
DAVID 1986,DAVID 1986-10-06,NULL,DAVID,1986-10-06,1986,1987-05-06,1987,1986-10-06,1986
FLO 1983,FLO 1983-05-11,NULL,FLO,NULL,NULL,1983-05-11,1983,1983-05-11,1983
JAMES 2021,JAMES 2021-01-22,NULL,JAMES,2021-01-22,2021,2019-11-17,2019,2021-01-22,2021
REBECCA 1965,REBECCA 1965-01-01,NULL,REBECCA,1965-01-01,1965,1966-01-12,1966,1965-01-01,1965
VENESA 1999,VENESA 1999-05-05,NULL,VENESA,1999-05-05,1999,2000-03-24,2000,1999-05-05,1999
1936,1936-02-10,NULL,NULL,NULL,NULL,1936-02-10,1936,1936-02-10,1936
1936,1936-05-23,NULL,NULL,NULL,NULL,1936-05-23,1936,1936-05-23,1936
1951,1951-08-22,NULL,NULL,NULL,NULL,1951-08-22,1951,1951-08-22,1951
1978,1978-09-21,NULL,NULL,NULL,NULL,1978-09-21,1978,1978-09-21,1978
1986,1986-04-15,NULL,NULL,NULL,NULL,1986-04-15,1986,1986-04-15,1986
1986,1986-05-19,NULL,NULL,NULL,NULL,1986-05-19,1986,1986-05-19,1986
1990,1990-12-04,NULL,NULL,NULL,NULL,1990-12-04,1990,1990-12-04,1990
1993,1993-08-15,NULL,NULL,NULL,NULL,1993-08-15,1993,1993-08-15,1993
1996,1996-09-08,NULL,NULL,NULL,NULL,1996-09-08,1996,1996-09-08,1996
1996,1996-09-18,NULL,NULL,NULL,NULL,1996-09-18,1996,1996-09-18,1996
1996,1996-09-29,NULL,NULL,NULL,NULL,1996-09-29,1996,1996-09-29,1996
2000,2000-02-24,NULL,NULL,NULL,NULL,2000-02-24,2000,2000-02-24,2000
2003,2003-12-18,NULL,NULL,NULL,NULL,2003-12-18,2003,2003-12-18,2003
1949,1949-05-24,NULL,NULL,1949-05-24,1949,1949-06-11,1949,1949-05-24,1949
1950,1950-01-01,NULL,NULL,1950-01-01,1950,1950-04-21,1950,1950-01-01,1950
1970,1970-01-01,NULL,NULL,1970-01-01,1970,1970-10-27,1970,1970-01-01,1970
1980,1980-10-16,NULL,NULL,1980-10-16,1980,1980-10-26,1980,1980-10-16,1980
1985,1985-01-01,NULL,NULL,1985-01-01,1985,1985-06-28,1985,1985-01-01,1985
1990,1990-01-01,NULL,NULL,1990-01-01,1990,1990-11-27,1990,1990-01-01,1990
1990,1990-11-11,NULL,NULL,1990-11-11,1990,1991-11-16,1991,1990-11-11,1990
2000,2000-01-01,NULL,NULL,2000-01-01,2000,2000-12-09,2000,2000-01-01,2000
2001,2001-01-01,NULL,NULL,2001-01-01,2001,2001-11-12,2001,2001-01-01,2001
2018,2018-10-03,NULL,NULL,2018-10-03,2018,2018-11-04,2018,2018-10-03,2018
2019,2019-01-30,NULL,NULL,2019-01-30,2019,1956-03-03,1956,2019-01-30,2019
2021,2021-05-21,NULL,NULL,2021-05-21,2021,2021-05-21,2021,2021-05-21,2021
DARWIN 2020,DARWIN 2020-05-18,NULL,DARWIN,NULL,NULL,2020-05-18,2020,2020-05-18,2020
FERNANDO 1982,FERNANDO 1982-05-12,NULL,FERNANDO,1982-05-12,1982,1982-09-22,1982,1982-05-12,1982
GLORIA 1950,GLORIA 1950-01-01,NULL,GLORIA,1950-01-01,1950,1950-12-17,1950,1950-01-01,1950
JUAN 1970,JUAN 1970-10-16,NULL,JUAN,NULL,NULL,1970-10-16,1970,1970-10-16,1970
JUDITH 2003,JUDITH 2003-03-27,NULL,JUDITH,NULL,NULL,2003-03-27,2003,2003-03-27,2003
MARGIE 1919,MARGIE 1919-01-08,NULL,MARGIE,NULL,NULL,1919-01-08,1919,1919-01-08,1919
NICOLINA 2001,NICOLINA 2001-01-07,NULL,NICOLINA,NULL,NULL,2001-01-07,2001,2001-01-07,2001
REBECA 1991,REBECA 1991-09-15,NULL,REBECA,1991-09-15,1991,1992-01-17,1992,1991-09-15,1991
RODNEY 1948,RODNEY 1948-03-04,NULL,RODNEY,1948-03-04,1948,1949-03-09,1949,1948-03-04,1948
SHERMAN 1945,SHERMAN 1945-06-15,NULL,SHERMAN,NULL,NULL,1945-06-15,1945,1945-06-15,1945
SLIM 1980,SLIM 1980-01-11,NULL,SLIM,1980-01-11,1980,1980-11-27,1980,1980-01-11,1980
ZANE 1969,ZANE 1969-03-11,NULL,ZANE,NULL,NULL,1969-03-11,1969,1969-03-11,1969
ABARCA VICTOR 1966,ABARCA VICTOR 1966-05-09,ABARCA,VICTOR,1966-05-09,1966,1967-04-09,1967,1966-05-09,1966
ABATE MICHAEL 1984,ABATE MICHAEL 1984-12-04,ABATE,MICHAEL,1984-12-04,1984,1985-09-08,1985,1984-12-04,1984
ABAZIED NOURAS 1972,ABAZIED NOURAS 1972-02-03,ABAZIED,NOURAS,1972-02-03,1972,1972-08-03,1972,1972-02-03,1972
ABBAS ALAA 1989,ABBAS ALAA 1989-02-08,ABBAS,ALAA,1989-02-08,1989,1989-10-01,1989,1989-02-08,1989
ABBOOD THIKRA 1982,ABBOOD THIKRA 1982-10-01,ABBOOD,THIKRA,1982-10-01,1982,1982-10-27,1982,1982-10-01,1982
ABBOTT BRUCE 1947,ABBOTT BRUCE 1947-11-04,ABBOTT,BRUCE,1947-11-04,1947,1948-01-19,1948,1947-11-04,1947
ABBOTT JEANNE 1947,ABBOTT JEANNE 1947-07-18,ABBOTT,JEANNE,1947-07-18,1947,1947-08-11,1947,1947-07-18,1947
ABBOTT DARRELL 1954,ABBOTT DARRELL 1954-04-16,ABBOTT,DARRELL,1954-04-16,1954,1954-09-14,1954,1954-04-16,1954
ABBOTT JEANNE 1947,ABBOTT JEANNE 1947-07-18,ABBOTT,JEANNE,1947-07-18,1947,1947-08-08,1947,1947-07-18,1947
ABBOTT DARRELL 1954,ABBOTT DARRELL 1954-04-16,ABBOTT,DARRELL,1954-04-16,1954,1954-10-11,1954,1954-04-16,1954
ABDELHADI HUSSEIN 1966,ABDELHADI HUSSEIN 1966-05-13,ABDELHADI,HUSSEIN,1966-05-13,1966,1966-07-27,1966,1966-05-13,1966
ABDULAHI YULAN 1938,ABDULAHI YULAN 1938-07-25,ABDULAHI,YULAN,1938-07-25,1938,1939-05-08,1939,1938-07-25,1938
ABDUL-JABBAR KHALID 1952,ABDUL-JABBAR KHALID 1952-10-28,ABDUL-JABBAR,KHALID,1952-10-28,1952,1953-09-06,1953,1952-10-28,1952
ABDULLAH JANICE 1947,ABDULLAH JANICE 1947-03-24,ABDULLAH,JANICE,1947-03-24,1947,1947-12-25,1947,1947-03-24,1947
ABDULLAH HAKEEM 1975,ABDULLAH HAKEEM 1975-11-27,ABDULLAH,HAKEEM,1975-11-27,1975,1976-07-31,1976,1975-11-27,1975
ABEDI MEHDI 1947,ABEDI MEHDI 1947-03-07,ABEDI,MEHDI,1947-03-07,1947,1947-11-28,1947,1947-03-07,1947
ABEL VANEGAS 2017,ABEL VANEGAS 2017-01-01,ABEL,VANEGAS,2017-01-01,2017,2017-09-22,2017,2017-01-01,2017
ABEL BRUCE 1942,ABEL BRUCE 1942-06-30,ABEL,BRUCE,1942-06-30,1942,1942-08-27,1942,1942-06-30,1942
ABERNATHY RHONDA 1972,ABERNATHY RHONDA 1972-12-06,ABERNATHY,RHONDA,1972-12-06,1972,1972-12-29,1972,1972-12-06,1972
ABERNATHY DORTHY 1931,ABERNATHY DORTHY 1931-08-31,ABERNATHY,DORTHY,1931-08-31,1931,1932-03-06,1932,1931-08-31,1931
ABERNATHY MELLISA 1977,ABERNATHY MELLISA 1977-10-17,ABERNATHY,MELLISA,1977-10-17,1977,1978-07-29,1978,1977-10-17,1977
ABERNATHY ANSLEY 2005,ABERNATHY ANSLEY 2005-01-11,ABERNATHY,ANSLEY,2005-01-11,2005,2006-01-13,2006,2005-01-11,2005
ABERNATHY JACK 1957,ABERNATHY JACK 1957-05-22,ABERNATHY,JACK,1957-05-22,1957,1957-09-05,1957,1957-05-22,1957
ABERNATHY WANDA 1972,ABERNATHY WANDA 1972-12-06,ABERNATHY,WANDA,1972-12-06,1972,1973-04-15,1973,1972-12-06,1972
ABERZA LUCY 2017,ABERZA LUCY 2017-01-26,ABERZA,LUCY,2017-01-26,2017,2017-06-09,2017,2017-01-26,2017
ABEYTA MARY LOU 1948,ABEYTA MARY LOU 1948-03-02,ABEYTA,MARY LOU,1948-03-02,1948,1948-11-19,1948,1948-03-02,1948
ABILEY ELIJAH 2013,ABILEY ELIJAH 2013-07-12,ABILEY,ELIJAH,2013-07-12,2013,2014-02-28,2014,2013-07-12,2013
ABKINSON KAMETRE 1970,ABKINSON KAMETRE 1970-12-31,ABKINSON,KAMETRE,1970-12-31,1970,1972-01-09,1972,1970-12-31,1970
ABNER ODESSA 1977,ABNER ODESSA 1977-06-15,ABNER,ODESSA,1977-06-15,1977,1977-10-20,1977,1977-06-15,1977
ABNERY PENNY 1936,ABNERY PENNY 1936-09-16,ABNERY,PENNY,1936-09-16,1936,1937-07-27,1937,1936-09-16,1936
ABOLARIN JAMES 1949,ABOLARIN JAMES 1949-05-05,ABOLARIN,JAMES,1949-05-05,1949,1949-09-25,1949,1949-05-05,1949
ABOLLO ALEXIS 1993,ABOLLO ALEXIS 1993-09-09,ABOLLO,ALEXIS,1993-09-09,1993,1994-08-23,1994,1993-09-09,1993
ABOUD MICHAEL 1973,ABOUD MICHAEL 1973-02-13,ABOUD,MICHAEL,1973-02-13,1973,1973-09-09,1973,1973-02-13,1973
ABOU-ZEIDAN STEPHANIE 1990,ABOU-ZEIDAN STEPHANIE 1990-09-04,ABOU-ZEIDAN,STEPHANIE,1990-09-04,1990,1990-10-28,1990,1990-09-04,1990
ABOYTES REYNA 1963,ABOYTES REYNA 1963-09-29,ABOYTES,REYNA,1963-09-29,1963,1964-09-17,1964,1963-09-29,1963
ABRAMS DON 1960,ABRAMS DON 1960-04-25,ABRAMS,DON,1960-04-25,1960,1961-02-23,1961,1960-04-25,1960
ABRAMS CHAD 1985,ABRAMS CHAD 1985-01-06,ABRAMS,CHAD,1985-01-06,1985,1985-12-15,1985,1985-01-06,1985
ABRAMSON AMANDA 1981,ABRAMSON AMANDA 1981-06-20,ABRAMSON,AMANDA,1981-06-20,1981,1982-06-10,1982,1981-06-20,1981
ABRAMSON BENJAMIN 1986,ABRAMSON BENJAMIN 1986-05-26,ABRAMSON,BENJAMIN,1986-05-26,1986,1987-04-01,1987,1986-05-26,1986
ABRAMSON HOWARD 1949,ABRAMSON HOWARD 1949-02-08,ABRAMSON,HOWARD,1949-02-08,1949,1949-09-03,1949,1949-02-08,1949
ABRAMSON LINDA 1946,ABRAMSON LINDA 1946-03-26,ABRAMSON,LINDA,1946-03-26,1946,1946-10-24,1946,1946-03-26,1946
ABROHAMS ELLIE 2017,ABROHAMS ELLIE 2017-03-24,ABROHAMS,ELLIE,2017-03-24,2017,2017-11-18,2017,2017-03-24,2017
ABROHAMS KELSEY 1991,ABROHAMS KELSEY 1991-09-10,ABROHAMS,KELSEY,1991-09-10,1991,1992-06-02,1992,1991-09-10,1991
ABROHAMS KELSEY 1991,ABROHAMS KELSEY 1991-09-10,ABROHAMS,KELSEY,1991-09-10,1991,1992-08-23,1992,1991-09-10,1991
ABSTON KENNETH 1941,ABSTON KENNETH 1941-09-30,ABSTON,KENNETH,1941-09-30,1941,1942-09-25,1942,1941-09-30,1941
ABUFARHA CAWFEECK 1980,ABUFARHA CAWFEECK 1980-01-21,ABUFARHA,CAWFEECK,1980-01-21,1980,1980-08-23,1980,1980-01-21,1980
ABUJABER LISHA 1963,ABUJABER LISHA 1963-08-30,ABUJABER,LISHA,1963-08-30,1963,1963-12-05,1963,1963-08-30,1963
ACHEBE ROSE 1947,ACHEBE ROSE 1947-05-19,ACHEBE,ROSE,1947-05-19,1947,1947-07-22,1947,1947-05-19,1947
ACKLEY LOIS 1946,ACKLEY LOIS 1946-10-11,ACKLEY,LOIS,1946-10-11,1946,1947-09-13,1947,1946-10-11,1946
ACKLIN VERNELL 1960,ACKLIN VERNELL 1960-12-10,ACKLIN,VERNELL,1960-12-10,1960,1961-04-06,1961,1960-12-10,1960
ACKLIN AFERY 2012,ACKLIN AFERY 2012-06-12,ACKLIN,AFERY,2012-06-12,2012,2013-04-04,2013,2012-06-12,2012
ACORD CHRISTI 1949,ACORD CHRISTI 1949-09-21,ACORD,CHRISTI,1949-09-21,1949,1950-01-16,1950,1949-09-21,1949
ACORD CHRISTI 1949,ACORD CHRISTI 1949-09-21,ACORD,CHRISTI,1949-09-21,1949,1950-05-22,1950,1949-09-21,1949
ACOSTA JACQULINE 2000,ACOSTA JACQULINE 2000-05-14,ACOSTA,JACQULINE,NULL,NULL,2000-05-14,2000,2000-05-14,2000
ACOSTA TELMA 1968,ACOSTA TELMA 1968-11-03,ACOSTA,TELMA,1968-11-03,1968,1969-01-19,1969,1968-11-03,1968
ACRES ALEXANDEER 1983,ACRES ALEXANDEER 1983-09-02,ACRES,ALEXANDEER,1983-09-02,1983,1983-11-23,1983,1983-09-02,1983
ACTON HELEN 1930,ACTON HELEN 1930-11-04,ACTON,HELEN,1930-11-04,1930,1931-08-24,1931,1930-11-04,1930
ACTON MARY 1959,ACTON MARY 1959-03-19,ACTON,MARY,1959-03-19,1959,1960-03-11,1960,1959-03-19,1959
ADAM JACOB 1978,ADAM JACOB 1978-09-22,ADAM,JACOB,1978-09-22,1978,1979-08-06,1979,1978-09-22,1978
ADAM MARGARET 1938,ADAM MARGARET 1938-09-16,ADAM,MARGARET,1938-09-16,1938,1939-04-29,1939,1938-09-16,1938
ADAMS BRUCE 1952,ADAMS BRUCE 1952-05-09,ADAMS,BRUCE,1952-05-09,1952,1952-11-26,1952,1952-05-09,1952
ADAMS DIANE 1942,ADAMS DIANE 1942-01-02,ADAMS,DIANE,1942-01-02,1942,1942-08-16,1942,1942-01-02,1942
ADAMS EDWIN 1947,ADAMS EDWIN 1947-02-01,ADAMS,EDWIN,1947-02-01,1947,1947-10-04,1947,1947-02-01,1947
ADAMS GRAYSON 2020,ADAMS GRAYSON 2020-08-11,ADAMS,GRAYSON,2020-08-11,2020,2020-08-30,2020,2020-08-11,2020
ADAMS JADA 2004,ADAMS JADA 2004-02-12,ADAMS,JADA,2004-02-12,2004,2004-04-27,2004,2004-02-12,2004
ADAMS KAYE 1941,ADAMS KAYE 1941-12-19,ADAMS,KAYE,1941-12-19,1941,1942-06-05,1942,1941-12-19,1941
ADAMS KENNETH 1928,ADAMS KENNETH 1928-01-12,ADAMS,KENNETH,1928-01-12,1928,1928-11-14,1928,1928-01-12,1928
ADAMS KEVIN 1965,ADAMS KEVIN 1965-12-18,ADAMS,KEVIN,1965-12-18,1965,1966-10-09,1966,1965-12-18,1965
ADAMS MARTHA 1964,ADAMS MARTHA 1964-10-16,ADAMS,MARTHA,1964-10-16,1964,1965-08-01,1965,1964-10-16,1964
ADAMS MARY 1982,ADAMS MARY 1982-09-12,ADAMS,MARY,1982-09-12,1982,1983-06-29,1983,1982-09-12,1982
ADAMS RANDERIO 1991,ADAMS RANDERIO 1991-01-16,ADAMS,RANDERIO,1991-01-16,1991,1991-11-16,1991,1991-01-16,1991
ADAMS TIERRA 2007,ADAMS TIERRA 2007-12-14,ADAMS,TIERRA,2007-12-14,2007,2008-08-14,2008,2007-12-14,2007
ADAMS TRACY 1961,ADAMS TRACY 1961-01-29,ADAMS,TRACY,1961-01-29,1961,1961-03-06,1961,1961-01-29,1961
ADAMS WANDA 1929,ADAMS WANDA 1929-10-09,ADAMS,WANDA,1929-10-09,1929,1930-02-22,1930,1929-10-09,1929
ADAMS CHARLES 1936,ADAMS CHARLES 1936-06-05,ADAMS,CHARLES,1936-06-05,1936,1936-06-26,1936,1936-06-05,1936
ADAMS CHARMETTE 1983,ADAMS CHARMETTE 1983-09-13,ADAMS,CHARMETTE,1983-09-13,1983,1983-10-09,1983,1983-09-13,1983
ADAMS EDDIE 1987,ADAMS EDDIE 1987-11-22,ADAMS,EDDIE,1987-11-22,1987,1988-03-08,1988,1987-11-22,1987
ADAMS JONATHAN 1965,ADAMS JONATHAN 1965-12-09,ADAMS,JONATHAN,1965-12-09,1965,1966-11-02,1966,1965-12-09,1965
ADAMS KINSLEY 2012,ADAMS KINSLEY 2012-04-27,ADAMS,KINSLEY,2012-04-27,2012,2012-09-16,2012,2012-04-27,2012
ADAMS LEONARD 1947,ADAMS LEONARD 1947-05-14,ADAMS,LEONARD,1947-05-14,1947,1948-03-02,1948,1947-05-14,1947
ADAMS LINDA 1952,ADAMS LINDA 1952-05-19,ADAMS,LINDA,1952-05-19,1952,1952-09-13,1952,1952-05-19,1952
ADAMS LYNLEE 2005,ADAMS LYNLEE 2005-09-07,ADAMS,LYNLEE,2005-09-07,2005,2006-02-01,2006,2005-09-07,2005
ADAMS MARY 1944,ADAMS MARY 1944-02-03,ADAMS,MARY,1944-02-03,1944,1945-01-01,1945,1944-02-03,1944
ADAMS MARY 1995,ADAMS MARY 1995-09-01,ADAMS,MARY,1995-09-01,1995,1996-01-23,1996,1995-09-01,1995
ADAMS MICHAEL 1957,ADAMS MICHAEL 1957-08-17,ADAMS,MICHAEL,1957-08-17,1957,1958-02-06,1958,1957-08-17,1957
ADAMS NYSHON 2009,ADAMS NYSHON 2009-10-27,ADAMS,NYSHON,2009-10-27,2009,2010-05-28,2010,2009-10-27,2009
ADAMS SHERRIE 1961,ADAMS SHERRIE 1961-04-16,ADAMS,SHERRIE,1961-04-16,1961,1961-11-19,1961,1961-04-16,1961
ADAMS SKYLER 2002,ADAMS SKYLER 2002-02-02,ADAMS,SKYLER,2002-02-02,2002,2002-05-30,2002,2002-02-02,2002
ADAMS VICTORIA 2000,ADAMS VICTORIA 2000-05-17,ADAMS,VICTORIA,2000-05-17,2000,2000-07-31,2000,2000-05-17,2000
ADAMS WAYNE 1951,ADAMS WAYNE 1951-02-17,ADAMS,WAYNE,1951-02-17,1951,1951-09-04,1951,1951-02-17,1951
ADAMS ZINA 1963,ADAMS ZINA 1963-04-25,ADAMS,ZINA,1963-04-25,1963,1963-07-03,1963,1963-04-25,1963
